year,number,text_type
2019,1,Literature
2019,2,Literature
2019,3,Literature
2019,4,Literature
2019,5,Literature
2019,6,Literature
2019,7,Literature
2019,8,Literature
2019,9,Literature
2019,10,Literature
2019,11,Literature
2019,12,Literature
2019,13,Literature
2019,14,Literature
2019,15,Literature
2019,16,Literature
2019,17,Literature
2019,18,Informational
2019,19,Informational
2019,20,Informational
2019,21,Informational
2019,22,Informational
2019,23,Informational
2019,24,Informational
2019,25,Informational
2019,LA9.CONV1,Literature
2019,LA17.CONV2,Literature
2019,LA25.CONV3,Informational
2019,WR9.IDEA1,Literature
2019,WR17.IDEA2,Literature
2019,WR25.IDEA3,Informational
2021,1,Literature
2021,2,Literature
2021,3,Literature
2021,4,Literature
2021,5,Literature
2021,6,Literature
2021,7,Informational
2021,8,Informational
2021,9,Informational
2021,10,Informational
2021,11,Literature
2021,12,Literature
2021,13,Literature
2021,14,Literature
2021,15,Literature
2021,16,Literature
2021,17,Literature
2021,18,Literature
2021,19,Literature
2021,20,Informational
2021,21,Informational
2021,22,Informational
2021,23,Informational
2021,24,Informational
2021,25,Informational
2021,26,Informational
2021,27,Informational
2021,28,Informational
2021,29,Informational
2021,30,Informational
2021,31,Informational
2021,WR12.IDEA1,Literature
2021,LA12.CONV1,Literature
2021,WR31.IDEA2,Informational
2021,LA31.CONV2,Informational
2022,1,Literature
2022,2,Literature
2022,3,Literature
2022,4,Literature
2022,5,Literature
2022,6,Literature
2022,7,Literature
2022,8,Literature
2022,9,Literature
2022,10,Literature
2022,11,Literature
2022,12,Literature
2022,13,Informational
2022,14,Informational
2022,15,Informational
2022,16,Informational
2022,17,Informational
2022,18,Informational
2022,19,Informational
2022,20,Informational
2022,21,Informational
2022,22,Informational
2022,23,Informational
2022,24,Informational
2022,25,Informational
2022,26,Informational
2022,27,Informational
2022,28,Informational
2022,29,Informational
2022,30,Informational
2022,31,Informational
2022,WR12.IDEA1,Literature
2022,LA12.CONV1,Literature
2022,WR31.IDEA2,Informational
2022,LA31.CONV2,Informational
2023,1,Informational
2023,2,Informational
2023,3,Informational
2023,4,Informational
2023,5,Informational
2023,6,Informational
2023,7,Informational
2023,8,Informational
2023,9,Informational
2023,10,Informational
2023,11,Informational
2023,12,Informational
2023,13,Literature
2023,14,Literature
2023,15,Literature
2023,16,Literature
2023,17,Literature
2023,18,Literature
2023,19,Literature
2023,20,Literature
2023,21,Literature
2023,22,Literature
2023,23,Literature
2023,24,Literature
2023,25,Literature
2023,26,Literature
2023,27,Literature
2023,28,Literature
2023,29,Literature
2023,30,Literature
2023,31,Literature
2023,WR12.IDEA1,Informational
2023,LA12.CONV1,Informational
2023,WR31.IDEA2,Literature
2023,LA31.CONV2,Literature
