Standard,Standard_Item_Report,Description,Reporting Category,Cluster,Unit,Term,Number of Class Sessions Including Review and Assessment,Instructional Days,102,Needed Calendar Days,122.4
6.EE.A.1,6.EE.A.1,Write and evaluate numerical expressions involving whole-number exponents. ,Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,Topic 3: Numeric and Algebraic Expressions,Term 1,14,,,,
6.EE.A.2,6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,Topic 3: Numeric and Algebraic Expressions,Term 1,,,,,
6.EE.A.2.a,6.EE.A.2,"Write expressions that record operations with numbers and with letters standing for numbers. For example, express the calculation “Subtract y from 5” as 5 – y.",Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,Topic 3: Numeric and Algebraic Expressions,Term 1,,,,,
6.EE.A.2.a,6.EE.A.2,"Write expressions that record operations with numbers and with letters standing for numbers. For example, express the calculation “Subtract y from 5” as 5 – y.",Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,"Topic 7: Solve Area, Surface Area, and Volume Problems",Term 3,12,,,,
6.EE.A.2.b,6.EE.A.2,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, and coefficient); view one or more parts of an expression as a single entity.  For example, describe the expression 2(8 + 7) as a product of two factors; view (8 + 7) as both a single entity and a sum of two terms.",Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,Topic 3: Numeric and Algebraic Expressions,Term 1,,,,,
6.EE.A.2.c,6.EE.A.2,"Evaluate expressions at specific values of their variables. Include expressions that arise from
formulas used in real-world problems. Perform arithmetic operations, including those involving
whole-number exponents, in the conventional order when there are no parentheses to specify a
particular order (Order of Operations). For example, use the formulas V = s^3 and A = 6s^2 to find the volume and surface area of a cube with sides of length s = ½ .",Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,Topic 3: Numeric and Algebraic Expressions,Term 1,,,,,
6.EE.A.2.c,6.EE.A.2,"Evaluate expressions at specific values of their variables. Include expressions that arise from
formulas used in real-world problems. Perform arithmetic operations, including those involving
whole-number exponents, in the conventional order when there are no parentheses to specify a
particular order (Order of Operations). For example, use the formulas V = s^3 and A = 6s^2 to find the volume and surface area of a cube with sides of length s = ½ .",Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,"Topic 7: Solve Area, Surface Area, and Volume Problems",Term 3,,,,,
6.EE.A.3,6.EE.A.3,"Apply the properties of operations to generate equivalent expressions. For example, apply the distributive property to the expression 3(2 + x) to produce the equivalent expression 6 + 3x; apply the distributive property to the expression 24x + 18y to produce the equivalent expression 6(4x + 3y); apply properties of operations to y + y + y to produce the equivalent expression 3y.",Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,Topic 3: Numeric and Algebraic Expressions,Term 2,,,,,
6.EE.A.4,6.EE.A.4,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them). For example, the expressions y + y + y and 3y are equivalent because they name the same number regardless of which number y stands for.",Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,Topic 3: Numeric and Algebraic Expressions,Term 2,,,,,
6.EE.B.5,6.EE.B.5,"Understand solving an equation or inequality as a process of answering a question: Which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true. ",Expressions and Equations,Reason about and solve one-variable equations and inequalities.,Topic 4: Represent and Solve Equations and Inequalities,Term 2,15,,,,
