Standard,Standard_Item_Report,Description,Reporting Category,Unit,Term,Course,Number of Class Sessions Including Review and Assessment,139,,
5.MD.B.2,5.MD.B.2,"Make a line plot to display a data set of measurements in fractions of a unit (1/2 , 1/4 , 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots. For example, given different measurements of liquid in identical beakers, find the amount of liquid each beaker would contain if the total amount in all the beakers were redistributed equally.",Measurement and Data,Topic 10: Represent and Interpret Data,Term 3,STEM,6,,,
5.MD.C.5,5.MD.C.5,Relate volume to the operations of multiplication and addition and solve real-world and mathematical problems involving volume.,Measurement and Data,Topic 11: Understand Volume Concepts,Term 2,STEM,7,,,
5.MD.C.5.a,5.MD.C.5,"Find the volume of a right rectangular prism with whole-number edge lengths by packing it with unit cubes, and show that the volume is the same as would be found by multiplying the edge lengths, equivalently by multiplying the height by the area of the base. Represent threefold whole-number products as volumes, e.g., to represent the associative property of multiplication.",Measurement and Data,Topic 11: Understand Volume Concepts,Term 2,STEM,,,,
5.MD.C.5.b,5.MD.C.5,"Apply the formula V = l x w x h and V = B x h (where B stands for the area of the base) for
rectangular prisms to find volumes of right rectangular prisms with whole-number edge lengths
in the context of solving real-world and mathematical problems. ",Measurement and Data,Topic 11: Understand Volume Concepts,Term 2,STEM,,,,
5.MD.C.5.c,5.MD.C.5,"Recognize volume as additive. Find volumes of solid figures composed of two non-overlapping right rectangular prisms by adding the volumes of the non-overlapping parts, applying this technique to solve real world problems.",Measurement and Data,Topic 11: Understand Volume Concepts,Term 2,STEM,,,,
5.MD.C.4,5.MD.C.4,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",Measurement and Data,Topic 11: Understand Volume Concepts,Term 2,STEM,,,,
5.MD.C.3,5.MD.C.3,Recognize volume as an attribute of solid figures and understand concepts of volume measurement.,Measurement and Data,Topic 11: Understand Volume Concepts,Term 2,STEM,,,,
5.MD.C.3.b,5.MD.C.3,A solid figure that can be packed without gaps or overlaps using n unit cubes is said to have a volume of n cubic units.,Measurement and Data,Topic 11: Understand Volume Concepts,Term 2,STEM,,,,
5.MD.C.3.a,5.MD.C.3,"A cube with side length 1 unit, called a unit cube, is said to have one cubic unit of volume, and can be used to measure volume.",Measurement and Data,Topic 11: Understand Volume Concepts,Term 2,STEM,,,,
5.MD.A.1,5.MD.A.1,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems.",Measurement and Data,Topic 12: Convert Measurements,Term 3,STEM,11,,,
