Standard,Standard_Item_Report,Description,Reporting Category,Domain,Cluster,Unit,Term,Number of Class Sessions Including Review and Assessment,Instructional Days,Needed Calendar Days
AI.A-SSE.A.1,AI.A-SSE.A.1 MI.A-SSE.A.1,Interpret expressions that represent a quantity in terms of its context.,Algebra,Seeing Structure in Expressions,,,,,,
AI.N-Q.A.1,AI.N-Q.A.1 MI.N-Q.A.1,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.,Number and Quantity,Quantities,,Topic 1: Real Numbers,Term 1,,,0
AI.N-Q.A.2,AI.N-Q.A.2 MI.N-Q.A.2,Define appropriate quantities for the purpose of descriptive modeling.,Number and Quantity,Quantities,,,,,,
AI.N-Q.A.3,AI.N-Q.A.3 MI.N-Q.A.3,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.,Number and Quantity,Quantities,,,,,,
AI.N-RN.A.1,AI.N-RN.A.1 MII.N-RN.A.1,"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents. For example, we define 51/3 to be the cube root of 5 because we want (51/3) 3 = 5(1/3) 3 to hold, so (51/3) 3 must equal 5.",Number and Quantity,The Real Number System,,,,,,
AI.N-RN.A.2,AI.N-RN.A.2 MII.N-RN.A.2,Rewrite expressions involving radicals and rational exponents using the properties of exponents.,Number and Quantity,The Real Number System,,,,,,
AI.N-RN.B.3,AI.N-RN.B.3 MII.N-RN.B.3,"Explain why the sum or product of two rational numbers is rational; that the sum of a rational number
and an irrational number is irrational; and that the product of a nonzero rational number and an
irrational number is irrational.",Number and Quantity,The Real Number System,,,,,,
AI.A-SSE.A.1,AI.A-SSE.A.1.a MI.A-SSE.A.1.a MII.A-SSE.A.1.a,"Interpret parts of an expression, such as terms, factors, and coefficients.",Algebra,Seeing Structure in Expressions,,,,,,
AI.A-SSE.A.1,AI.A-SSE.A.1.b MI.A-SSE.A.1.b MII.A-SSE.A.1.b,"Interpret complicated expressions by viewing one or more of their parts as a single entity. For example, interpret P(1 + r)t as the product of P and a factor not depending on P.",Algebra,Seeing Structure in Expressions,,,,,,
AI.A-SSE.A.2,AI.A-SSE.A.2 MII.A-SSE.A.2,"Use the structure of an expression to identify ways to rewrite it. For example, see (x + 2)2 – 9 as a difference of squares that can be factored as ((x + 2) + 3)((x + 2 ) – 3).",Algebra,Seeing Structure in Expressions,,,,,,
AI.A-SSE.B.3,AI.A-SSE.B.3 MII.A-SSE.B.3,"Choose and produce an equivalent form of an expression to reveal and explain properties of the
quantity represented by the expression.",Algebra,Seeing Structure in Expressions,,,,,,
AI.A-SSE.B.3,AI.A-SSE.B.3.a MII.A-SSE.B.3.a,Factor a quadratic expression to reveal the zeros of the function it defines.,Algebra,Seeing Structure in Expressions,,,,,,
AI.A-SSE.B.3,AI.A-SSE.B.3.b MII.A-SSE.B.3.b,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.,Algebra,Seeing Structure in Expressions,,,,,,
AI.A-SSE.B.3,AI.A-SSE.B.3.c MII.A-SSE.B.3.c,"Use the properties of exponents to transform expressions for exponential functions. For example, the expression 1.15t
can be rewritten as (1.151/12) 12t ≈ 1.01212t to reveal the approximateequivalent monthly interest rate if the annual rate is 15%.",Algebra,Seeing Structure in Expressions,,,,,,
AI.A-APR.A.1,AI.A-APR.A.1 MII.A-APR.A.1,"Understand that polynomials form a system analogous to the integers, namely, they are closed under
certain operations. ",Algebra,Arithmetic with Polynomials and Rational Expressions,,,,,,
AI.A-APR.A.1.a,AI.A-APR.A.1 MII.A-APR.A.1,"Perform operations on polynomial expressions (addition, subtraction, multiplication), and compare the system of polynomials to the system of integers when performing operations.",Algebra,Arithmetic with Polynomials and Rational Expressions,,,,,,
AI.A-APR.A.1.b,AI.A-APR.A.1 MII.A-APR.A.1,"Factor and/or expand polynomial expressions, identify and combine like terms, and apply the
Distributive property. ",Algebra,Arithmetic with Polynomials and Rational Expressions,,,,,,
AI.A-CED.A.1,AI.A-CED.A.1 MI.A-CED.A.1 MII.A-CED.A.1,"Create equations and inequalities in one variable and use them to solve problems. (Include equations arising from linear, quadratic, and exponential functions with integer exponents.)",Algebra,Creating Equations,,,,,,
AI.A-CED.A.2,AI.A-CED.A.2 MI.A-CED.A.2 MII.A-CED.A.2,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.,Algebra,Creating Equations,,,,,,
AI.A-CED.A.3,AI.A-CED.A.3 MI.A-CED.A.3,"Represent constraints by linear equations or inequalities, and by systems of linear equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.",Algebra,Creating Equations,,,,,,
AI.A-CED.A.4,AI.A-CED.A.4 MI.A-CED.A.4,"Rearrange formulas to highlight a quantity of interest using the same reasoning as in solving equations (Properties of equality). For example, rearrange Ohm’s law to solve for voltage, V. Manipulate variables in formulas used in financial contexts such as for simple interest, I=Prt .",Algebra,Creating Equations,,,,,,
AI.A-REI.A.1,AI.A-REI.A.1 MI.A-REI.A.1,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify or refute a solution method.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.B.3,AI.A-REI.B.3 MI.A-REI.B.3,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.B.3.a,AI.A-REI.B.3 MI.A-REI.B.3,Solve linear equations and inequalities in one variable involving absolute value.,Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.B.4,AI.A-REI.B.4 MII.A-REI.B.4,Solve quadratic equations in one variable.,Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.B.4.a,AI.A-REI.B.4 MII.A-REI.B.4,Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x – p) 2 = q that has the same solutions. Derive the quadratic formula from this form.,Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.B.4.b,AI.A-REI.B.4 MII.A-REI.B.4," Solve quadratic equations by inspection (e.g., for x2 = 49), taking square roots, completing the
square, the quadratic formula, and factoring, as appropriate to the initial form of the equation.
Recognize when the solutions of a quadratic equation results in non-real solutions and write them
as a ± bi for real numbers a and b.",Algebra,Reasoning with Equations and Inequalities,,,,,,
AI.A-REI.C.5,AI.A-REI.C.5 MI.A-REI.C.5,"Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions.",Algebra,Reasoning with Equations and Inequalities,,,,,,
