Year,Grade,Subject,%MorE,%MorE_State,%E,%E_State,%M,%M_State,%PM,%PM_State,%NM,%NM_State,Mean_SGP,Mean SGP_State,Median_SGP,Median_SGP_State
2024,5,ELA,33,0,3,,30,,64,,3,,35,50,28.5,50
2023,5,ELA,57,44,3,5,54,39,36,40,7,16,42,50,38,50
2022,5,ELA,45,41,2,5,43,36,47,46,8,13,39,50,34,50
2021,5,ELA,65,47,10,8,55,39,33,41,2,12,38,35,31,28
2019,5,ELA,43,52,2,7,41,45,57,39,0,9,33,50,20,50
2018,5,ELA,60,54,0,6,60,48,39,38,1,8,32,50,26,50
2017,5,ELA,43,49,5,6,38,43,54,42,2,10,,,35,50
2024,5,Math,44,0,3,,41,,53,,2,,47,50,46.5,50
2023,5,Math,49,41,5,5,44,36,48,46,3,13,37,50,36,50
2022,5,Math,34,36,0,4,34,32,53,48,13,16,26,50,20,50
2021,5,Math,40,33,1,4,39,29,51,47,8,20,31,32,24,24
2019,5,Math,58,49,3,6,55,43,38,42,4,10,46,50,48,50
2018,5,Math,56,46,4,5,52,41,37,44,7,10,45,50,43,50
2017,5,Math,53,46,9,7,44,39,42,44,5,10,,,38,50
2024,5,STE,40,0,9,,31,,47,,13,,,,,
2023,5,STE,51,41,4,8,47,33,42,40,7,19,,,,
2022,5,STE,56,43,7,7,49,36,35,40,9,18,,,,
2021,5,STE,63,43,11,7,52,36,33,39,4,19,,,,
2019,5,STE,55,48,3,8,52,40,44,39,1,12,,,,
