"","adminyear","grade","eitem1","eitem2","eitem3","eitem4","eitem5","eitem6","eitem7","eitem8","eitem9","eitem10","eitem11","eitem12","eitem13","eitem14","eitem15","eitem16","eitem17","eitem18","eitem19","eitem20","eitem21","eitem22","eitem23","eitem24","eitem25","eitem26","eitem27","eitem28","eitem29","eitem30","eitem31","eitem32","mitem1","mitem2","mitem3","mitem4","mitem5","mitem6","mitem7","mitem8","mitem9","mitem10","mitem11","mitem12","mitem13","mitem14","mitem15","mitem16","mitem17","mitem18","mitem19","mitem20","mitem21","mitem22","mitem23","mitem24","mitem25","mitem26","mitem27","mitem28","mitem29","mitem30","mitem31","mitem32","mitem33","mitem34","mitem35","mitem36","mitem37","mitem38","mitem39","mitem40","mitem41","mitem42","sitem1","sitem2","sitem3","sitem4","sitem5","sitem6","sitem7","sitem8","sitem9","sitem10","sitem11","sitem12","sitem13","sitem14","sitem15","sitem16","sitem17","sitem18","sitem19","sitem20","sitem21","sitem22","sitem23","sitem24","sitem25","sitem26","sitem27","sitem28","sitem29","sitem30","sitem31","sitem32","sitem33","sitem34","sitem35","sitem36","sitem37","sitem38","sitem39","sitem40","sitem41","sitem42","sitem43","sitem44","sitem45","eteststat","mteststat","steststat","ssubject","ssubject_prior","erawsc","mrawsc","srawsc","escaleds","mscaleds","sscaleds","escaleds2019","escaleds2021","escaleds2022","mscaleds2019","mscaleds2021","mscaleds2022","escaleds.legacy.equivalent","mscaleds.legacy.equivalent","sscaleds.legacy.equivalent","sscaleds_prior","sscaleds.highest.on.nextGen.scale","eperflev","mperflev","sperflev","eperf2","mperf2","sperf2","eassess","massess","sassess","esgp","msgp","esgp2019","esgp2021","esgp2022","msgp2019","msgp2021","msgp2022","idea1","idea2","conv1","conv2","eattempt","mattempt","sattempt","grade2021"
"1",2023,"05",1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,NA,NA,NA,NA,"T","T","T",NA,NA,13,5,16,464,445,466,NA,NA,469,NA,NA,476,NA,NA,NA,NA,NA,"NM","NM","Not Meeting","Not Meeting","Not Meeting","Not Meeting",1,1,1,22,1,NA,NA,NA,NA,NA,NA,"0","0","0","0","F","F","F",NA
"2",2023,"05",1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,2,NA,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,NA,NA,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,3,1,1,1,0,NA,NA,NA,NA,"T","T","T",NA,NA,20,18,20,477,480,474,NA,471,482,NA,452,481,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",1,1,1,38,47,NA,NA,79,NA,NA,77,"0","1","1","1","F","F","F","03"
"3",2023,"05",1,1,2,0,1,1,0,1,1,1,2,4,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,6,NA,0,1,1,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,NA,NA,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,2,1,0,1,1,0,0,0,0,0,1,1,1,0,1,NA,NA,NA,NA,"T","T","T",NA,NA,33,19,23,503,482,480,NA,482,488,NA,460,483,NA,NA,NA,NA,NA,"M","PM","Partially Meeting","Meeting","Partially Meeting","Partially Meeting",1,1,1,90,46,NA,NA,78,NA,NA,73,"2","3","2","3","F","F","F","03"
"4",2023,"05",1,1,2,0,0,0,1,1,1,1,2,6,1,1,0,1,2,0,1,0,1,1,1,1,1,1,1,1,1,1,6,NA,0,1,0,1,2,1,1,3,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,2,2,1,0,1,1,0,NA,NA,0,1,1,0,2,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,NA,NA,NA,NA,"T","T","T",NA,NA,38,27,22,517,494,478,NA,524,508,NA,497,508,NA,NA,NA,NA,NA,"M","PM","Partially Meeting","Meeting","Partially Meeting","Partially Meeting",1,1,1,68,12,NA,NA,38,NA,NA,67,"3","3","3","3","F","F","F","03"
"5",2023,"05",0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,NA,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,NA,NA,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,2,0,1,1,0,NA,NA,NA,NA,"T","T","T",NA,NA,17,8,24,472,456,482,NA,464,464,NA,443,461,NA,NA,NA,NA,NA,"PM","NM","Partially Meeting","Partially Meeting","Not Meeting","Partially Meeting",1,1,1,66,12,NA,NA,36,NA,NA,46,"1","0","0","0","F","F","F","03"
"6",2023,"05",1,1,2,1,1,0,1,1,1,0,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,0,1,0,1,1,2,NA,1,1,1,1,3,1,1,3,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,3,4,1,1,1,1,1,NA,NA,1,1,1,1,2,1,2,1,1,1,1,1,1,1,0,1,2,0,1,1,1,1,1,1,1,0,1,2,0,1,1,1,0,1,1,1,2,1,0,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,33,43,40,503,518,516,NA,512,505,NA,506,522,NA,NA,NA,NA,NA,"M","M","Meeting","Meeting","Meeting","Meeting",1,1,1,33,58,NA,NA,54,NA,NA,83,"1","1","1","1","F","F","F","03"
"7",2023,"05",1,1,2,1,1,1,1,0,1,1,2,2,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2,NA,1,1,1,0,0,1,0,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,1,0,2,1,0,NA,NA,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,2,0,1,1,1,1,0,0,1,1,2,1,1,1,0,0,1,1,0,1,1,0,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,30,25,28,496,491,490,NA,NA,488,NA,NA,495,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",1,1,1,65,35,NA,NA,NA,NA,NA,NA,"1","1","1","1","F","F","F",NA
"8",2023,"05",1,1,2,1,1,1,1,0,1,1,0,6,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,NA,1,1,1,1,3,1,1,3,1,1,2,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,1,1,1,1,1,NA,NA,1,1,1,1,2,1,2,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,0,0,1,1,2,2,1,1,0,1,1,0,0,1,2,2,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,39,43,42,520,518,521,NA,518,503,NA,528,524,NA,NA,NA,NA,NA,"M","M","Meeting","Meeting","Meeting","Meeting",1,1,1,85,34,NA,NA,34,NA,NA,50,"3","1","3","1","F","F","F","03"
"9",2023,"05",1,1,2,0,0,1,1,0,1,1,2,2,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,3,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,3,2,1,0,1,0,0,NA,NA,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,2,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,2,0,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,20,24,28,477,490,490,NA,499,484,NA,510,504,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",1,1,1,13,6,NA,NA,24,NA,NA,23,"1","1","1","0","F","F","F","03"
"10",2023,"05",1,1,2,1,1,1,1,1,1,1,1,6,1,0,1,1,0,1,1,1,1,2,1,1,1,1,1,0,1,2,4,NA,1,1,1,0,2,1,1,3,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,4,3,1,0,1,1,1,NA,NA,1,1,1,1,1,0,2,1,1,1,1,0,1,1,0,1,2,0,1,1,1,1,1,0,1,0,2,2,1,1,1,0,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,39,40,37,520,513,508,NA,540,508,NA,519,522,NA,NA,NA,NA,NA,"M","M","Meeting","Meeting","Meeting","Meeting",1,1,1,67,27,NA,NA,18,NA,NA,57,"3","2","3","2","F","F","F","03"
"11",2023,"05",0,1,0,0,0,1,1,1,1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2,NA,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,"T","T","T",NA,NA,15,14,17,468,473,468,NA,456,480,NA,466,468,NA,NA,NA,NA,NA,"NM","PM","Not Meeting","Not Meeting","Partially Meeting","Not Meeting",1,1,1,22,38,NA,NA,86,NA,NA,27,"1","1","1","1","F","F","F","03"
