"adminyear","grade","eitem1","eitem2","eitem3","eitem4","eitem5","eitem6","eitem7","eitem8","eitem9","eitem10","eitem11","eitem12","eitem13","eitem14","eitem15","eitem16","eitem17","eitem18","eitem19","eitem20","eitem21","eitem22","eitem23","eitem24","eitem25","eitem26","eitem27","eitem28","eitem29","eitem30","eitem31","eitem32","eitem33","eitem34","eitem35","eitem36","eitem37","eitem38","eitem39","eitem40","mitem1","mitem2","mitem3","mitem4","mitem5","mitem6","mitem7","mitem8","mitem9","mitem10","mitem11","mitem12","mitem13","mitem14","mitem15","mitem16","mitem17","mitem18","mitem19","mitem20","mitem21","mitem22","mitem23","mitem24","mitem25","mitem26","mitem27","mitem28","mitem29","mitem30","mitem31","mitem32","mitem33","mitem34","mitem35","mitem36","mitem37","mitem38","mitem39","mitem40","mitem41","mitem42","sitem1","sitem2","sitem3","sitem4","sitem5","sitem6","sitem7","sitem8","sitem9","sitem10","sitem11","sitem12","sitem13","sitem14","sitem15","sitem16","sitem17","sitem18","sitem19","sitem20","sitem21","sitem22","sitem23","sitem24","sitem25","sitem26","sitem27","sitem28","sitem29","sitem30","sitem31","sitem32","sitem33","sitem34","sitem35","sitem36","sitem37","sitem38","sitem39","sitem40","sitem41","sitem42","sitem43","sitem44","sitem45","eteststat","mteststat","steststat","ssubject","ssubject_prior","erawsc","mrawsc","srawsc","escaleds","mscaleds","sscaleds","escaleds2018","escaleds2019","escaleds2021","mscaleds2018","mscaleds2019","mscaleds2021","sscaleds_prior","escaleds.legacy.equivalent","mscaleds.legacy.equivalent","sscaleds.legacy.equivalent","sscaleds.highest.on.legacy.scale","sscaleds.highest.on.nextGen.scale","eperflev","mperflev","sperflev","eperf2","mperf2","sperf2","sperf2.highest.on.nextGen.scale","eassess","massess","sassess","esgp","msgp","esgp2018","esgp2019","esgp2021","msgp2018","msgp2019","msgp2021","idea1","idea2","idea3","wpcompconv","conv1","conv2","conv3","eattempt","mattempt","sattempt","grade2021"
2022,"5",1,0,1,1,1,1,1,1,1,0,2,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,2,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,NA,NA,1,0,0,0,2,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,32,24,30,499,489,494,NA,NA,512,NA,NA,501,NA,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",NA,1,1,1,26,10,NA,NA,NA,NA,NA,NA,"0.0","1.0",NA,NA,"1.0","1.0",NA,"F","F","F","4"
2022,"5",1,1,0,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,1,3,0,1,1,1,1,1,1,0,1,0,1,0,1,1,4,1,2,1,1,1,2,1,1,1,0,1,0,1,1,0,0,NA,NA,1,1,1,1,2,0,1,0,1,1,1,0,2,0,1,2,1,1,1,1,1,1,0,1,1,1,0,0,2,0,1,1,1,0,1,1,1,0,1,0,1,NA,NA,NA,NA,"T","T","T",NA,NA,34,37,34,504,506,502,NA,NA,522,NA,NA,527,NA,NA,NA,NA,NA,NA,"M","M","Meeting","Meeting","Meeting","Meeting",NA,1,1,1,26,11,NA,NA,NA,NA,NA,NA,"0.0","1.0",NA,NA,"1.0","1.0",NA,"F","F","F","4"
2022,"5",1,1,1,1,0,1,1,1,1,2,2,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,4,1,1,1,4,1,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,0,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,39,48,43,516,527,525,NA,NA,528,NA,NA,509,NA,NA,NA,NA,NA,NA,"M","M","Meeting","Meeting","Meeting","Meeting",NA,1,1,1,57,93,NA,NA,NA,NA,NA,NA,"2.0","1.0",NA,NA,"2.0","1.0",NA,"F","F","F","4"
2022,"5",1,1,1,1,1,1,1,1,1,2,2,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,0,1,0,4,0,1,1,0,0,0,1,1,0,1,3,1,2,0,1,1,2,1,1,0,1,1,0,0,0,0,1,NA,NA,1,0,0,1,2,0,1,1,1,1,1,0,2,1,1,1,1,0,1,1,1,1,1,0,1,0,2,3,2,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,26,33,39,487,501,514,NA,NA,516,NA,NA,492,NA,NA,NA,NA,NA,NA,"PM","M","Meeting","Partially Meeting","Meeting","Meeting",NA,1,1,1,3,69,NA,NA,NA,NA,NA,NA,"0.0","0.0",NA,NA,"0.0","0.0",NA,"F","F","F","4"
2022,"5",1,1,1,1,1,1,1,1,1,0,2,2,1,1,2,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,2,1,0,1,4,1,1,0,0,0,0,0,1,0,1,2,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,NA,NA,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,1,0,1,1,0,1,1,1,0,0,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,30,24,32,495,489,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"1.0","1.0",NA,NA,"1.0","1.0",NA,"F","F","F",NA
2022,"5",1,1,1,1,0,1,1,1,0,0,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,1,3,1,0,0,2,1,0,0,1,1,0,1,1,1,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,NA,1,1,0,1,2,1,0,1,0,0,0,0,1,1,1,1,2,1,0,1,1,1,0,1,0,1,3,2,0,0,0,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,32,21,33,499,485,499,NA,NA,498,NA,NA,500,NA,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",NA,1,1,1,61,6,NA,NA,NA,NA,NA,NA,"2.0","0.0",NA,NA,"1.0","0.0",NA,"F","F","F","4"
2022,"5",1,0,1,1,0,1,0,0,1,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,1,2,0,1,1,2,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,NA,NA,1,0,1,1,0,0,1,0,0,1,0,1,2,1,2,2,0,1,1,0,1,1,0,1,0,0,3,2,1,1,0,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,33,24,34,501,489,502,NA,NA,522,NA,NA,513,NA,NA,NA,NA,NA,NA,"M","PM","Meeting","Meeting","Partially Meeting","Meeting",NA,1,1,1,17,3,NA,NA,NA,NA,NA,NA,"2.0","2.0",NA,NA,"1.0","2.0",NA,"F","F","F","4"
2022,"5",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,NA,NA,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"T","T","T",NA,NA,8,12,15,454,469,460,NA,NA,495,NA,NA,474,NA,NA,NA,NA,NA,NA,"NM","NM","Not Meeting","Not Meeting","Not Meeting","Not Meeting",NA,1,1,1,1,14,NA,NA,NA,NA,NA,NA,"0.0","0.0",NA,NA,"0.0","0.0",NA,"F","F","F","4"
2022,"5",0,1,0,1,1,1,1,1,1,2,2,1,1,0,2,1,0,1,1,1,1,1,1,1,1,0,2,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,0,2,1,1,1,0,1,0,0,1,0,0,0,1,0,1,2,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,NA,NA,1,0,1,1,1,1,0,1,1,0,1,1,2,1,1,1,2,1,1,0,1,1,1,1,0,0,2,1,2,1,1,1,0,1,1,1,1,0,1,1,1,NA,NA,NA,NA,"T","T","T",NA,NA,31,21,37,497,485,509,NA,NA,522,NA,NA,489,NA,NA,NA,NA,NA,NA,"PM","PM","Meeting","Partially Meeting","Partially Meeting","Meeting",NA,1,1,1,10,21,NA,NA,NA,NA,NA,NA,"0.0","2.0",NA,NA,"1.0","1.0",NA,"F","F","F","4"
2022,"5",0,0,1,0,0,0,0,1,0,1,2,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,1,2,1,0,1,1,1,0,1,0,0,0,0,1,1,0,2,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,NA,NA,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,2,2,2,0,0,1,1,1,0,1,1,1,1,0,0,NA,NA,NA,NA,"T","T","T",NA,NA,22,23,29,481,488,492,NA,NA,486,NA,NA,486,NA,NA,NA,NA,NA,NA,"PM","PM","Partially Meeting","Partially Meeting","Partially Meeting","Partially Meeting",NA,1,1,1,34,37,NA,NA,NA,NA,NA,NA,"0.0","1.0",NA,NA,"1.0","1.0",NA,"F","F","F","4"
