year,number,practice_category
2019,1,None
2019,2,C. ERM
2019,3,None
2019,4,C. ERM
2019,5,C. ERM
2019,6,B. MD
2019,7,C. ERM
2019,8,None
2019,9,C. ERM
2019,10,B. MD
2019,11,C. ERM
2019,12,C. ERM
2019,13,None
2019,14,C. ERM
2019,15,B. MD
2019,16,None
2019,17,C. ERM
2019,18,C. ERM
2019,19,None
2019,20,None
2019,21,C. ERM
2019,22,A. IQ
2019,23,B. MD
2019,24,None
2019,25,C. ERM
2019,26,A. IQ
2019,27,C. ERM
2019,28,None
2019,29,C. ERM
2019,30,B. MD
2019,31,C. ERM
2019,32,C. ERM
2019,33,C. ERM
2019,34,None
2019,35,B. MD
2019,36,C. ERM
2019,37,A. IQ
2019,38,None
2019,39,C. ERM
2019,40,B. MD
2019,41,None
2021,1,A. IQ
2021,2,None
2021,3,None
2021,4,C. ERM
2021,5,B. MD
2021,6,C. ERM
2021,7,A. IQ
2021,8,C. ERM
2021,9,C. ERM
2021,10,C. ERM
2021,11,C. ERM
2021,12,C. ERM
2021,13,None
2021,14,B. MD
2021,15,C. ERM
2021,16,B. MD
2021,17,None
2021,18,None
2021,19,C. ERM
2021,20,None
2021,21,C. ERM
2021,22,None
2021,23,C. ERM
2021,24,B. MD
2021,25,B. MD
2021,26,A. IQ
2021,27,C. ERM
2021,28,C. ERM
2021,29,None
2021,30,C. ERM
2021,31,None
2021,32,None
2021,33,C. ERM
2021,34,B. MD
2021,35,C. ERM
2021,36,None
2021,37,C. ERM
2021,38,B. MD
2021,39,C. ERM
2021,40,C. ERM
2021,41,C. ERM
2022,1,C. ERM
2022,2,C. ERM
2022,3,C. ERM
2022,4,B. MD
2022,5,B. MD
2022,6,C. ERM
2022,7,None
2022,8,C. ERM
2022,9,A. IQ
2022,10,B. MD
2022,11,C. ERM
2022,12,C. ERM
2022,13,C. ERM
2022,14,A. IQ
2022,15,C. ERM
2022,16,C. ERM
2022,17,A. IQ
2022,18,C. ERM
2022,19,None
2022,20,None
2022,21,B. MD
2022,22,C. ERM
2022,23,C. ERM
2022,24,A. IQ
2022,25,B. MD
2022,26,None
2022,27,C. ERM
2022,28,C. ERM
2022,29,C. ERM
2022,30,C. ERM
2022,31,C. ERM
2022,32,C. ERM
2022,33,C. ERM
2022,34,C. ERM
2022,35,C. ERM
2022,36,C. ERM
2022,37,None
2022,38,C. ERM
2022,39,B. MD
2022,40,C. ERM
2022,41,C. ERM
2023,1,C. ERM
2023,2,B. MD
2023,3,C. ERM
2023,4,C. ERM
2023,5,B. MD
2023,6,B. MD
2023,7,C. ERM
2023,8,A. IQ
2023,9,C. ERM
2023,10,None
2023,11,None
2023,12,B. MD
2023,13,None
2023,14,B. MD
2023,15,C. ERM
2023,16,B. MD
2023,17,C. ERM
2023,18,B. MD
2023,19,None
2023,20,None
2023,21,C. ERM
2023,22,C. ERM
2023,23,None
2023,24,A. IQ
2023,25,None
2023,26,C. ERM
2023,27,A. IQ
2023,28,B. MD
2023,29,B. MD
2023,30,None
2023,31,C. ERM
2023,32,None
2023,33,C. ERM
2023,34,C. ERM
2023,35,C. ERM
2023,36,C. ERM
2023,37,B. MD
2023,38,C. ERM
2023,39,C. ERM
2023,40,A. IQ
2023,41,None
